disaster_number,historic,classification_key,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,event_name,iso_code,country,subregion,region,location,origin,associated_types,ofda_bha_response,appeal,declaration,magnitude,magnitude_scale,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,num_injured,num_affected,num_homeless,total_affected,insured_damage_000s_usd,insured_damage_adjusted_000s_usd,total_damage_000s_usd,total_damage_adjusted_000s_usd,cpi,entry_date,last_update,start_date,end_date,days_lasted
2001-0474-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Brainerd city (Crow King district, Minnesota province)",,,No,No,No,,Kph,2001,6,13,2001,6,13,,,225.0,,225.0,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-06-13,2001-06-13,0
2001-0477-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Watkins area (Adams district, Colorado province)",,Hail,No,No,No,,Kph,2001,6,21,2001,6,21,,2.0,120.0,,122.0,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-06-21,2001-06-21,0
2001-0564-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Cordell city (Washita district, Oklahoma province), Polk, Merrick, Hamilton districts (Nebraska province)",,,No,No,No,,Kph,2001,10,10,2001,10,10,,7.0,300.0,,307.0,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-10-10,2001-10-10,0
2001-0566-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Howard, Prince George's districts (Maryland province)",,,No,No,No,,Kph,2001,9,24,2001,9,24,2.0,50.0,,1000.0,1050.0,,,30000.0,51625.0,58.11147437438208,2003-07-01,2023-09-25,2001-09-24,2001-09-24,0
2001-0601-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Pasadena city (Harris district, Texas province)",,,No,No,No,,Kph,2001,10,11,2001,10,11,,,360.0,,360.0,,,4000.0,6883.0,58.11147437438208,2003-07-01,2023-09-25,2001-10-11,2001-10-11,0
2001-0602-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Hondo city (Medina district, Texas province)",,,No,No,No,,Kph,2001,10,12,2001,10,12,,2.0,1800.0,150.0,1952.0,,,7000.0,12046.0,58.11147437438208,2003-07-01,2023-09-25,2001-10-12,2001-10-12,0
2001-0722-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Tennessee, Kentucky, West Virginia, Virginia, Georgia provinces",,,No,No,No,283.0,Km2,2001,10,30,2001,10,30,1.0,,,,,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-10-30,2001-10-30,0
2001-0724-USA,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,USA,United States of America,Northern America,Americas,Texas province,Heavy rain,,No,No,No,7730.0,Km2,2001,11,15,2001,11,19,9.0,,600.0,,600.0,,,,,58.11147437438208,2005-09-21,2023-09-25,2001-11-15,2001-11-19,4
2001-0770-USA,No,nat-met-ext-hea,Natural,Meteorological,Extreme temperature,Heat wave,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin provinces",,,No,No,No,,°C,2001,8,1,2001,8,1,56.0,,,,,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-08-01,2001-08-01,0
2001-0771-USA,No,nat-met-sto-sto,Natural,Meteorological,Storm,Storm (General),,USA,United States of America,Northern America,Americas,"Tennesse, Kentucky provinces",,,No,No,No,,Kph,2001,8,1,2001,8,1,11.0,,,200.0,200.0,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-08-01,2001-08-01,0
2001-0772-USA,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,USA,United States of America,Northern America,Americas,District of Columbia province,,,No,No,No,,Km2,2001,8,1,2001,8,1,,,3600.0,,3600.0,,,,,58.11147437438208,2003-07-01,2023-09-25,2001-08-01,2001-08-01,0
2001-0773-USA,No,nat-met-sto-tor,Natural,Meteorological,Storm,Tornado,,USA,United States of America,Northern America,Americas,"Jakson town (Dakota district, Nebraska province)",,,No,No,No,,Kph,2001,8,17,2001,8,17,,2.0,200.0,,202.0,,,3000.0,5162.0,58.11147437438208,2003-07-01,2023-09-25,2001-08-17,2001-08-17,0
2002-0017-USA,No,nat-met-sto-bli,Natural,Meteorological,Storm,Blizzard/Winter storm,,USA,United States of America,Northern America,Americas,"Alabama, Louisiana, Virginia, North Carolina, South Carolina, Mississipi, Georgia, Pensylvania,",,Transport accident,No,No,No,114.0,Kph,2002,1,1,2002,1,1,24.0,,,,,,,,,59.03314407861422,2003-07-01,2023-09-25,2002-01-01,2002-01-01,0
2002-0092-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,USA,United States of America,Northern America,Americas,"Fallbrok area (San Diego district, Californie province)",,,No,No,No,23.0,Km2,2002,2,10,2002,2,10,,11.0,,123.0,134.0,,,6600.0,11180.0,59.03314407861422,2005-05-03,2023-09-25,2002-02-10,2002-02-10,0
