"disaster_number","historic","classification_key","disaster_group","disaster_subgroup","disaster_type","disaster_subtype","origin","associated_types","ofda_bha_response","appeal","declaration","magnitude","magnitude_scale","start_date","end_date","entry_date","last_update"
"2020-0544-IDN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2020-12-06","2020-12-08","2020-12-10","2023-09-25"
"2020-0548-LKA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Moonsonal rains",NULL,"No","No","No",NULL,"Km2","2020-12-02","2020-12-05","2020-12-14","2023-09-25"
"2020-0551-IDN","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2020-12-12","2020-12-15","2020-12-15","2023-09-25"
"2020-0555-JPN","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,"Cold wave","No","No","No",NULL,"Kph","2020-12-16","2020-12-18","2020-12-18","2023-09-25"
"2020-0558-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,"Flood","No","No","No",NULL,"Kph","2020-12-18","2020-12-21","2020-12-21","2023-09-25"
"2020-0558-VNM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2020-12-21","2020-12-21","2020-12-23","2023-09-25"
"2020-0559-MYS","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood",NULL,NULL,"No","No","No",NULL,"Km2","2020-12-20","2020-12-21","2020-12-21","2023-09-25"
"2020-0561-THA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rain, monsoon","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2020-12-16","2020-12-21","2020-12-22","2023-09-25"
"2020-0568-PHL","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)",NULL,NULL,"No","No","No",NULL,NULL,"2020-12-21","2020-12-21","2020-12-23","2023-09-25"
"2020-0574-IRN","No","nat-hyd-mmw-ava","Natural","Hydrological","Mass movement (wet)","Avalanche (wet)",NULL,NULL,"No","No","No",NULL,NULL,"2020-12-25","2020-12-25","2021-01-04","2023-09-25"
"2020-0581-CHN","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NULL,NULL,"No","No","No",NULL,"Km2","2020-08-01","2020-08-01","2021-01-07","2023-09-25"
"2020-0596-YEM","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NULL,NULL,"No","No","No",NULL,"Km2","2020-07-15","2020-08-15","2021-02-17","2024-03-26"
"2020-0597-TUR","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NULL,NULL,"No","No","No",NULL,"Km2","2020-08-22","2020-08-23","2021-02-17","2023-09-25"
"2020-0602-MNG","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2020-07-08","2020-08-15","2021-02-18","2023-09-25"
"2021-0003-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,"Slide (land, mud, snow, rock)","No","No","Yes","6.2","Moment Magnitude","2021-01-15","2021-01-15","2021-01-19","2023-09-25"
"2021-0004-IDN","No","nat-geo-vol-lav","Natural","Geophysical","Volcanic activity","Lava flow",NULL,NULL,"No","No","No",NULL,NULL,"2021-01-17","2021-01-17","2021-01-19","2023-09-25"
"2021-0005-IDN","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2021-01-15","2021-01-21","2021-01-19","2023-09-25"
"2021-0006-PHL","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2021-01-10","2021-01-18","2021-01-19","2023-09-25"
"2021-0008-MYS","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains",NULL,"No","No","No",NULL,"Km2","2021-01-12","2021-01-15","2021-01-19","2023-09-25"
"2021-0015-MYS","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains",NULL,"No","No","No",NULL,"Km2","2021-01-11","2021-01-13","2021-01-19","2023-09-25"
"2021-0017-TWN","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,"Cold wave","No","No","No",NULL,"Kph","2021-01-08","2021-01-12","2021-01-19","2023-09-25"
"2021-0018-JPN","No","nat-met-sto-bli","Natural","Meteorological","Storm","Blizzard/Winter storm",NULL,"Cold wave","No","No","No",NULL,"Kph","2021-01-07","2021-01-12","2021-01-19","2023-09-25"
"2021-0021-THA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains",NULL,"No","No","No",NULL,"Km2","2021-01-05","2021-01-11","2021-01-19","2023-09-25"
"2021-0022-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2021-01-08","2021-01-24","2021-01-19","2023-09-25"
"2021-0023-IDN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","Heavy rains",NULL,"No","No","No",NULL,"Km2","2021-01-06","2021-01-08","2021-01-19","2023-09-25"
"2021-0026-LKA","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains","Lightening|Storm","No","No","No",NULL,"Km2","2021-01-01","2021-01-05","2021-01-19","2023-09-25"
"2021-0028-MYS","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)",NULL,"Lightening","No","No","No",NULL,"Km2","2021-01-02","2021-01-08","2021-01-19","2023-09-25"
"2021-0039-SYR","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rain",NULL,"No","No","No",NULL,"Km2","2021-01-14","2021-01-27","2021-01-27","2023-09-25"
"2021-0062-IDN","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains",NULL,"No","No","No",NULL,"Km2","2021-02-03","2021-02-05","2021-02-05","2023-09-25"
"2021-0072-IND","No","nat-cli-glo-glo","Natural","Climatological","Glacial lake outburst flood","Glacial lake outburst flood",NULL,"Flood","No","No","No",NULL,NULL,"2021-02-07","2021-02-08","2021-02-09","2023-09-25"
"2021-0079-PHL","No","nat-met-sto-sev","Natural","Meteorological","Storm","Severe weather","Tail-end of a frontal system","Flood","No","No","No",NULL,"Kph","2021-01-01","2021-01-04","2021-02-10","2023-09-25"
"2021-0086-IDN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)",NULL,NULL,"No","No","No",NULL,NULL,"2021-02-14","2021-02-14","2021-02-17","2023-09-25"
"2021-0088-IDN","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains",NULL,"No","No","No",NULL,"Km2","2021-02-19","2021-02-23","2021-02-23","2023-09-25"
"2021-0091-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone",NULL,NULL,"No","No","No",NULL,"Kph","2021-02-21","2021-02-22","2021-02-23","2023-09-25"
"2021-0095-IRN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","5.6","Moment Magnitude","2021-02-17","2021-02-17","2021-02-23","2023-09-25"
"2021-0104-IDN","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains",NULL,"No","No","No",NULL,"Km2","2021-02-23","2021-02-26","2021-02-26","2023-09-25"
"2021-0105-JPN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NULL,NULL,"No","No","No","7.1","Moment Magnitude","2021-02-13","2021-02-13","2021-02-26","2023-09-25"
"2021-0108-PHL","No","nat-hyd-flo-flo","Natural","Hydrological","Flood","Flood (General)","Heavy rains","Slide (land, mud, snow, rock)","No","No","No",NULL,"Km2","2021-02-11","2021-02-12","2021-02-26","2023-09-25"
